iter	Passed	Remaining
0	176	35168
1	177	17552
2	178	11709
3	178	8769
4	179	7016
5	180	5838
6	181	5006
7	182	4368
8	183	3885
9	183	3490
10	184	3176
11	185	2913
12	187	2691
13	188	2498
14	189	2331
15	190	2185
16	190	2055
17	191	1940
18	192	1833
19	193	1741
20	193	1652
21	194	1576
22	195	1504
23	196	1440
24	196	1378
25	197	1323
26	198	1274
27	199	1228
28	200	1185
29	201	1144
30	202	1103
31	203	1067
32	204	1033
33	205	1001
34	206	971
35	206	942
36	207	915
37	208	889
38	209	865
39	209	839
40	210	816
41	211	795
42	212	775
43	213	757
44	214	739
45	215	721
46	216	705
47	217	688
48	218	674
49	220	660
50	221	646
51	222	632
52	223	619
53	224	607
54	225	595
55	227	584
56	228	574
57	229	563
58	231	552
59	232	541
60	233	531
61	234	521
62	235	512
63	236	502
64	237	492
65	238	483
66	239	475
67	240	466
68	241	458
69	242	450
70	243	442
71	244	435
72	245	427
73	246	419
74	247	412
75	248	405
76	249	398
77	250	391
78	251	385
79	252	378
80	253	372
81	255	368
82	256	362
83	258	356
84	259	350
85	260	345
86	261	339
87	262	334
88	263	329
89	265	323
90	265	318
91	266	313
92	267	308
93	269	303
94	271	299
95	272	294
96	273	290
97	274	285
98	275	281
99	277	277
100	278	272
101	279	268
102	280	264
103	281	260
104	283	256
105	285	252
106	286	248
107	287	244
108	288	240
109	289	237
110	290	233
111	292	229
112	293	225
113	294	222
114	295	218
115	296	214
116	298	211
117	300	208
118	301	205
119	302	201
120	304	198
121	305	195
122	306	191
123	307	188
124	308	185
125	310	182
126	311	178
127	312	175
128	314	173
129	315	170
130	317	167
131	318	163
132	319	160
133	320	157
134	321	154
135	323	152
136	324	149
137	325	146
138	326	143
139	328	140
140	330	138
141	332	135
142	333	132
143	334	129
144	335	127
145	336	124
146	337	121
147	339	119
148	340	116
149	341	113
150	343	111
151	345	109
152	347	106
153	348	104
154	349	101
155	350	98
156	352	96
157	353	93
158	354	91
159	356	89
160	358	86
161	360	84
162	361	82
163	362	79
164	364	77
165	365	74
166	366	72
167	368	70
168	369	67
169	370	65
170	373	63
171	374	61
172	375	58
173	377	56
174	378	54
175	379	51
176	381	49
177	382	47
178	383	45
179	385	42
180	387	40
181	389	38
182	390	36
183	391	34
184	392	31
185	394	29
186	395	27
187	397	25
188	398	23
189	399	21
190	401	18
191	403	16
192	404	14
193	406	12
194	407	10
195	408	8
196	410	6
197	411	4
198	412	2
199	413	0
